S,I,R
0.417396018012789,-8.07512689305027e-08,0.58260406273848
0.417396011483459,-8.46508562906437e-08,0.582604073167396
0.417396012173581,-8.42389319380055e-08,0.582604072065351
0.417396020030569,-7.95468958205891e-08,0.582604059516327
0.417396034759046,-7.07511453455933e-08,0.582604035992099
0.417396055820846,-5.81730753794054e-08,0.582604002352229
0.417396082435006,-4.22790782476143e-08,0.582603959844072
0.417396113577775,-2.36805437349998e-08,0.582603910102769
0.417396147982608,-3.1338590855418e-09,0.582603855151251
0.41739618414017,1.84595909975935e-08,0.582603797400239
0.417396220298332,4.0053424352036e-08,0.582603739648243
0.417396254462175,6.04562613562262e-08,0.582603685081563
0.417396284393986,7.83317249294034e-08,0.582603637274289
0.417396307613261,9.21984405316226e-08,0.582603600188298
0.417396321396706,1.00430036163728e-07,0.582603578173258
0.417396322778231,1.01255142367386e-07,0.582603575966626
0.417396308356323,9.26423339140284e-08,0.582603599001342
0.417396269150577,6.92278431178655e-08,0.58260366162158
0.417396206262775,3.16694754686193e-08,0.582603762067749
0.417396125626033,-1.64893121972992e-08,0.582603890863279
0.417396032735864,-7.19664119953789e-08,0.582604039230547
0.417395932650181,-1.3174106499301e-07,0.582604199090884
0.417395829989293,-1.93053861209482e-07,0.582604363064568
0.41739572893591,-2.53406739615986e-07,0.582604524470829
0.41739563323514,-3.10562988135613e-07,0.582604677327847
0.417395546194491,-3.62547243643357e-07,0.582604816352752
0.417395470683866,-4.07645491966109e-07,0.582604936961625
0.417395409135571,-4.44405067882661e-07,0.582605035269496
0.417395363544308,-4.71634655123707e-07,0.582605108090347
0.417395335467178,-4.88404286371845e-07,0.582605152937108
0.417395326023682,-4.94045343261564e-07,0.582605168021661
0.417395335895718,-4.88150556379264e-07,0.582605152254838
0.417395365327583,-4.70574005263235e-07,0.582605105246422
0.417395414125974,-4.41431118403681e-07,0.582605027305144
0.417395481659986,-4.01098673242693e-07,0.582604919438687
0.417395566861111,-3.50214796174272e-07,0.582604783353685
0.417395668223242,-2.89678962544314e-07,0.58260462145572
0.41739578380267,-2.20651996650621e-07,0.582604436849327
0.417395911218084,-1.44556071742886e-07,0.582604233337988
0.417396047650571,-6.30747100227142e-08,0.582604015424138
0.41739618984362,2.18472173564011e-08,0.582603788309162
0.417396334103116,1.08003490289053e-07,0.582603557893394
0.417396476297341,1.92926539717936e-07,0.582603330776118
0.41739661185698,2.7388744763386e-07,0.582603114255572
0.417396735775114,3.4789594707571e-07,0.582602916328938
0.417396842607223,4.1170042213049e-07,0.582602745692354
0.417396926471185,4.61787907933296e-07,0.582602611740906
0.417396981047279,4.94384090667316e-07,0.58260252456863
